[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
2,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[311 100 293 0 55 142 169 0],[0.173 0.146 0.162 0 0.165 0.165 0.111 0],[9.655 7.261 9.249 0 5.655 6.541 2.788 0],[146 179 154 0 97 5 60 0],1
2,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[213 87 201 0 87 178 155 0],[0.161 0.11 0.129 0 0.109 0.331 0.16 0],[8.94 5.985 7.683 0 4.37 11.129 2.635 0],[113 132 111 0 60 3 23 0],1
2,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[145 68 287 0 44 60 49 0],[0.097 0.082 0.105 0 0.112 0.14 0.112 0],[6.338 5.125 6.626 0 4.588 5.902 2.124 0],[83 151 134 0 71 1 23 0],1
2,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[245 114 235 0 82 0 145 0],[0.15 0.14 0.159 0 0.149 0 0.107 0],[8.634 7.039 9.254 0 5.25 0 3.141 0],[94 227 195 0 77 0 28 0],1
2,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[203 131 234 0 47 0 148 0],[0.195 0.134 0.175 0 0.133 0 0.091 0],[10.42 6.837 9.707 0 5.039 0 3.017 0],[77 203 197 0 51 0 11 0],1
3,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[195 116 161 11 72 112 204 113],[0.17 0.127 0.126 0.035 0.122 0.195 0.092 0.358],[9.339 6.671 7.708 2.379 4.66 7.511 2.792 8.3],[96 149 127 2 75 24 110 3],1
3,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[271 182 198 0 70 201 299 0],[0.17 0.078 0.153 0 0.119 0.421 0.114 0],[9.195 4.813 8.663 0 4.618 13.381 3.083 0],[85 129 84 0 62 3 46 0],1
3,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[193 121 276 0 52 16 245 0],[0.139 0.119 0.146 0 0.166 0.036 0.112 0],[8.309 6.366 8.465 0 5.623 2.569 3.032 0],[112 193 131 0 67 1 113 0],1
3,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[228 151 235 0 35 116 180 0],[0.205 0.135 0.201 0 0.083 0.18 0.135 0],[10.903 6.797 10.86 0 3.787 6.9 3.355 0],[135 162 145 0 15 2 64 0],1
3,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[253 89 335 0 30 67 212 0],[0.173 0.101 0.171 0 0.123 0.136 0.142 0],[9.514 5.755 9.346 0 5.003 5.8 2.681 0],[144 222 141 0 10 1 46 0],1
3,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[246 103 192 0 19 95 131 0],[0.136 0.115 0.131 0 0.079 0.15 0.151 0],[7.986 6.188 7.808 0 3.818 6.135 2.741 0],[123 185 164 0 8 2 49 0],1
3,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[196 114 240 0 18 0 226 0],[0.185 0.159 0.191 0 0.125 0 0.138 0],[10.244 7.453 10.545 0 5.133 0 3.165 0],[98 74 108 0 3 0 53 0],1
3,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[256 88 272 0 0 0 93 0],[0.132 0.111 0.135 0 0 0 0.131 0],[7.812 6.13 8.071 0 0 0 2.411 0],[107 196 160 0 0 0 37 0],1
3,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[332 111 289 0 0 0 166 0],[0.165 0.124 0.175 0 0 0 0.136 0],[9.363 6.662 9.751 0 0 0 2.802 0],[169 214 204 0 0 0 45 0],1
3,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[239 90 213 0 0 0 142 0],[0.14 0.09 0.135 0 0 0 0.159 0],[7.893 5.384 7.761 0 0 0 2.343 0],[120 99 154 0 0 0 20 0],1
4,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[206 70 505 0 122 119 250 14],[0.222 0.146 0.196 0 0.17 0.156 0.128 0.065],[11.31 7.178 10.029 0 5.774 6.31 2.897 3.278],[58 48 60 0 104 16 92 1],1
4,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[150 80 225 0 70 201 172 0],[0.142 0.124 0.169 0 0.151 0.235 0.119 0],[8.47 6.672 9.323 0 5.272 8.446 2.769 0],[74 91 68 0 104 10 120 0],1
4,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[202 110 271 0 73 211 272 0],[0.181 0.135 0.169 0 0.151 0.261 0.148 0],[10.047 6.979 9.538 0 5.273 9.254 2.92 0],[88 137 134 0 86 8 179 0],1
4,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[278 107 323 0 40 179 179 0],[0.166 0.083 0.158 0 0.077 0.541 0.158 0],[9.115 5.07 8.613 0 3.591 17.102 2.7 0],[82 94 116 0 37 1 163 0],1
4,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[247 110 306 0 78 0 216 0],[0.145 0.141 0.181 0 0.128 0 0.141 0],[8.323 7.095 9.924 0 4.765 0 2.876 0],[88 113 131 0 42 0 195 0],1
4,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[207 75 209 0 55 0 212 0],[0.159 0.124 0.149 0 0.156 0 0.142 0],[9.162 6.742 8.789 0 5.466 0 2.702 0],[77 95 180 0 47 0 161 0],1
4,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[275 95 238 0 37 0 141 0],[0.185 0.148 0.171 0 0.154 0 0.142 0],[10.249 7.366 9.782 0 5.364 0 2.931 0],[96 83 209 0 21 0 236 0],1
4,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[163 95 244 0 34 0 187 0],[0.136 0.09 0.137 0 0.127 0 0.16 0],[7.974 5.182 7.951 0 4.997 0 2.686 0],[76 55 169 0 33 0 143 0],1
4,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[244 95 231 0 58 0 228 0],[0.223 0.122 0.178 0 0.125 0 0.145 0],[11.832 6.326 9.956 0 4.68 0 2.835 0],[88 75 214 0 29 0 163 0],1
4,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[254 150 248 0 32 0 277 0],[0.217 0.124 0.154 0 0.119 0 0.158 0],[11.206 6.322 8.653 0 4.722 0 2.744 0],[83 82 206 0 4 0 136 0],1
5,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[225 89 281 0 95 107 212 0],[0.157 0.107 0.167 0 0.141 0.153 0.128 0],[8.461 5.847 9.026 0 5.009 6.246 2.505 0],[100 56 75 0 76 26 88 0],1
5,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[319 101 113 0 45 204 123 0],[0.136 0.098 0.114 0 0.137 0.611 0.135 0],[7.872 5.771 7.25 0 5.143 18.775 2.449 0],[68 120 74 0 50 2 51 0],1
5,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[216 114 212 0 81 304 196 0],[0.206 0.142 0.184 0 0.146 0.313 0.163 0],[11.279 7.145 10.245 0 5.401 9.8 2.896 0],[101 275 124 0 40 4 81 0],1
5,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[228 141 240 0 35 138 210 0],[0.157 0.121 0.121 0 0.122 0.384 0.191 0],[8.874 6.509 7.317 0 4.795 13.046 2.622 0],[87 261 153 0 23 1 64 0],1
5,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[236 121 250 0 24 238 232 0],[0.181 0.121 0.157 0 0.099 0.315 0.158 0],[10.083 6.452 8.936 0 4.393 10.265 2.93 0],[136 264 126 0 13 3 51 0],1
5,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[267 194 234 0 51 0 209 0],[0.165 0.107 0.133 0 0.175 0 0.218 0],[9.027 5.794 7.865 0 5.733 0 2.858 0],[114 236 142 0 12 0 18 0],1
5,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[220 126 245 0 18 0 157 0],[0.16 0.108 0.136 0 0.104 0 0.163 0],[9.241 6.087 8.15 0 4.569 0 3.36 0],[131 246 179 0 13 0 8 0],1
5,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[276 129 202 0 0 0 145 0],[0.182 0.114 0.133 0 0 0 0.137 0],[9.807 6.118 7.832 0 0 0 2.544 0],[87 139 100 0 0 0 8 0],1
5,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[310 109 171 0 0 0 2 0],[0.15 0.109 0.129 0 0 0 0.295 0],[8.484 5.909 7.781 0 0 0 1.607 0],[57 168 85 0 0 0 1 0],1
5,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[410 121 102 0 0 0 77 0],[0.134 0.095 0.092 0 0 0 0.13 0],[7.786 5.642 6.187 0 0 0 2.259 0],[91 331 47 0 0 0 8 0],1
1,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[183 100 166 0 49 104 261 114],[0.132 0.109 0.144 0 0.117 0.157 0.164 0.249],[7.767 5.964 8.479 0 4.734 6.37 2.983 6.708],[57 92 57 0 43 20 53 6],2
1,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[264 119 266 0 57 201 150 0],[0.158 0.132 0.163 0 0.134 0.343 0.174 0],[9.077 6.823 9.19 0 4.915 11.411 2.506 0],[113 123 131 0 56 8 66 0],2
1,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[364 219 247 0 95 301 250 0],[0.162 0.134 0.15 0 0.17 0.39 0.144 0],[9.121 6.871 8.609 0 5.712 11.814 3.01 0],[129 151 191 0 40 3 81 0],2
1,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[464 122 336 0 23 111 161 0],[0.162 0.1 0.124 0 0.099 0.122 0.118 0],[8.871 5.692 7.435 0 4.398 5.269 2.892 0],[91 159 183 0 12 4 50 0],2
1,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[467 85 230 0 37 0 128 0],[0.169 0.105 0.151 0 0.202 0 0.176 0],[9.141 5.848 8.568 0 6.435 0 2.667 0],[86 170 140 0 3 0 41 0],2
1,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[245 97 330 0 0 0 127 0],[0.153 0.118 0.192 0 0 0 0.117 0],[8.781 6.427 9.98 0 0 0 2.578 0],[84 301 116 0 0 0 78 0],2
1,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[345 89 345 0 0 0 155 0],[0.171 0.108 0.159 0 0 0 0.127 0],[9.416 5.933 8.819 0 0 0 2.873 0],[106 230 136 0 0 0 67 0],2
1,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[445 115 286 0 0 0 174 0],[0.195 0.14 0.183 0 0 0 0.134 0],[10.498 7.053 10.044 0 0 0 3.381 0],[125 231 189 0 0 0 83 0],2
1,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[237 176 199 0 0 0 268 0],[0.21 0.111 0.15 0 0 0 0.149 0],[11.064 6.039 8.634 0 0 0 2.956 0],[127 222 148 0 0 0 83 0],2
1,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[236 93 290 0 0 0 111 0],[0.174 0.139 0.185 0 0 0 0.163 0],[9.783 6.976 10.236 0 0 0 2.627 0],[159 272 144 0 0 0 74 0],2
2,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[220 116 332 0 72 110 293 112],[0.154 0.136 0.169 0 0.147 0.165 0.099 0.476],[8.606 6.908 9.075 0 5.244 6.618 2.958 10.266],[148 106 110 0 103 41 104 3],2
2,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[313 179 228 0 46 201 270 212],[0.162 0.112 0.155 0 0.136 0.184 0.153 0.332],[9.01 6.056 8.794 0 5.036 6.802 2.542 6.903],[115 29 89 0 45 13 73 3],2
2,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[269 95 256 0 60 162 149 0],[0.134 0.104 0.127 0 0.129 0.303 0.181 0],[7.952 5.807 7.655 0 4.812 10.69 2.817 0],[128 60 132 0 85 4 75 0],2
2,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[369 103 237 0 53 238 220 0],[0.185 0.134 0.151 0 0.147 0.353 0.12 0],[10.207 6.944 8.765 0 5.298 11.453 2.822 0],[134 105 191 0 81 4 84 0],2
2,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[283 77 238 0 69 0 217 0],[0.215 0.127 0.161 0 0.123 0 0.123 0],[11.089 6.711 9.058 0 4.602 0 2.862 0],[127 87 210 0 60 0 63 0],2
2,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[344 56 267 0 39 0 317 0],[0.165 0.088 0.139 0 0.125 0 0.135 0],[9.117 5.299 7.861 0 4.9 0 2.555 0],[108 59 130 0 76 0 75 0],2
2,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[444 66 364 0 39 0 144 0],[0.168 0.084 0.149 0 0.08 0 0.133 0],[9.022 5.234 8.413 0 3.79 0 2.542 0],[110 78 152 0 37 0 69 0],2
2,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[298 82 138 0 49 0 116 0],[0.124 0.109 0.129 0 0.12 0 0.165 0],[7.58 6.107 7.933 0 4.679 0 2.819 0],[144 149 160 0 60 0 54 0],2
2,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[212 98 177 0 34 0 149 0],[0.143 0.096 0.136 0 0.128 0 0.162 0],[8.407 5.523 8.007 0 5.054 0 2.976 0],[159 130 118 0 38 0 34 0],2
2,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[243 82 267 0 55 0 239 0],[0.16 0.12 0.183 0 0.155 0 0.162 0],[9.102 6.403 10.067 0 5.376 0 3.224 0],[76 177 86 0 26 0 47 0],2
3,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[213 114 209 0 74 106 289 18],[0.161 0.106 0.146 0 0.146 0.157 0.145 0.071],[8.846 6.02 8.383 0 5.249 6.353 2.732 3.443],[115 97 114 0 91 20 86 1],2
3,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[290 108 156 0 60 201 162 0],[0.163 0.113 0.127 0 0.138 0.183 0.166 0],[8.993 6.09 7.652 0 5.065 6.984 2.906 0],[101 134 106 0 108 17 70 0],2
3,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[101 36 133 0 62 301 177 0],[0.083 0.068 0.087 0 0.109 0.949 0.163 0],[5.686 4.741 5.867 0 4.361 25.707 2.402 0],[38 25 42 0 47 1 41 0],2
3,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[116 62 179 0 62 96 135 0],[0.134 0.113 0.152 0 0.155 0.175 0.122 0],[8.175 6.306 8.798 0 5.481 6.848 2.702 0],[66 135 93 0 146 2 86 0],2
3,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[173 143 257 0 92 196 145 0],[0.17 0.129 0.182 0 0.169 0.392 0.153 0],[9.589 6.698 9.984 0 5.719 12.832 2.794 0],[79 168 121 0 123 3 114 0],2
3,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[208 75 180 0 55 0 215 0],[0.111 0.108 0.131 0 0.116 0 0.161 0],[6.888 6.216 7.915 0 4.648 0 2.843 0],[32 133 86 0 127 0 74 0],2
3,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[149 83 215 0 47 0 152 0],[0.177 0.121 0.165 0 0.128 0 0.14 0],[9.936 6.464 9.354 0 4.902 0 3.124 0],[26 165 146 0 115 0 109 0],2
3,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[130 122 228 0 58 0 97 0],[0.15 0.106 0.163 0 0.154 0 0.138 0],[8.795 5.902 9.15 0 5.332 0 2.094 0],[32 211 153 0 76 0 72 0],2
3,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[229 115 232 0 57 0 137 0],[0.153 0.111 0.176 0 0.137 0 0.106 0],[8.432 6.205 9.733 0 5.038 0 3.007 0],[38 272 164 0 66 0 64 0],2
3,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[173 80 305 0 44 0 152 0],[0.116 0.12 0.177 0 0.116 0 0.115 0],[7.175 6.509 9.712 0 4.63 0 2.706 0],[32 262 140 0 42 0 75 0],2
4,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[208 98 188 0 64 101 230 16],[0.131 0.103 0.139 0 0.124 0.121 0.133 0.06],[7.406 5.775 7.997 0 4.727 5.225 2.772 3.134],[95 112 77 0 47 17 82 1],2
4,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[290 102 250 0 56 201 163 0],[0.144 0.11 0.162 0 0.122 0.263 0.134 0],[8.265 6.142 9.142 0 4.766 9.137 2.745 0],[147 168 76 0 50 13 135 0],2
4,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[300 123 210 0 100 301 263 0],[0.197 0.163 0.197 0 0.147 0.429 0.131 0],[10.812 7.812 10.792 0 5.204 13.249 2.851 0],[167 164 94 0 71 4 141 0],2
4,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[235 93 181 0 53 0 246 0],[0.133 0.096 0.118 0 0.157 0 0.139 0],[8.042 5.596 7.259 0 5.599 0 2.628 0],[104 118 78 0 97 0 70 0],2
4,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[205 129 230 0 67 0 84 0],[0.174 0.134 0.159 0 0.145 0 0.144 0],[9.908 6.862 9.119 0 5.181 0 2.558 0],[98 189 58 0 156 0 49 0],2
4,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[226 69 242 0 53 0 161 0],[0.15 0.105 0.121 0 0.138 0 0.139 0],[8.684 6.038 7.415 0 5.175 0 3.127 0],[86 220 81 0 148 0 66 0],2
4,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[196 87 192 0 68 0 154 0],[0.155 0.094 0.135 0 0.108 0 0.122 0],[8.836 5.468 7.995 0 4.347 0 2.872 0],[70 138 93 0 65 0 42 0],2
4,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[296 88 292 0 96 0 217 0],[0.16 0.131 0.173 0 0.167 0 0.11 0],[9.131 6.839 9.736 0 5.666 0 3.232 0],[115 192 146 0 79 0 89 0],2
4,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[396 93 285 0 97 0 170 0],[0.156 0.109 0.133 0 0.132 0 0.12 0],[8.741 6.037 7.905 0 4.934 0 2.789 0],[67 213 89 0 37 0 66 0],2
4,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[213 77 237 0 30 0 138 0],[0.166 0.125 0.168 0 0.112 0 0.133 0],[9.394 6.744 9.582 0 4.657 0 3.443 0],[63 265 136 0 21 0 78 0],2
5,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[212 70 286 0 117 114 291 113],[0.169 0.101 0.14 0 0.142 0.162 0.117 0.802],[8.913 5.771 8.151 0 5.129 6.514 2.636 14.838],[118 62 121 0 98 25 131 1],2
5,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[312 113 241 0 58 206 192 0],[0.194 0.119 0.168 0 0.144 0.301 0.145 0],[10.331 6.351 9.349 0 5.317 10.218 2.892 0],[130 74 196 0 71 15 127 0],2
5,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[412 106 245 0 74 301 201 0],[0.224 0.118 0.189 0 0.138 0.401 0.182 0],[11.352 6.187 10.162 0 4.978 12.362 2.832 0],[139 47 247 0 42 7 102 0],2
5,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[274 39 276 0 33 211 149 0],[0.105 0.09 0.131 0 0.113 0.257 0.182 0],[6.478 5.593 7.588 0 4.622 8.995 2.391 0],[75 27 154 0 19 6 60 0],2
5,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[147 91 146 0 36 0 178 0],[0.114 0.109 0.106 0 0.104 0 0.132 0],[7.122 6.098 6.802 0 4.439 0 2.758 0],[61 89 193 0 84 0 67 0],2
5,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[221 106 213 0 65 0 278 0],[0.187 0.146 0.15 0 0.142 0 0.129 0],[10.233 7.357 8.777 0 5.222 0 2.959 0],[69 168 218 0 80 0 76 0],2
5,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[312 80 274 0 59 0 154 0],[0.186 0.084 0.172 0 0.132 0 0.151 0],[9.975 5.227 9.521 0 4.854 0 3.133 0],[77 133 244 0 53 0 66 0],2
5,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[245 74 254 0 98 0 189 0],[0.146 0.115 0.13 0 0.219 0 0.22 0],[8.445 6.111 7.63 0 6.416 0 2.398 0],[37 49 112 0 13 0 32 0],2
5,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[196 159 312 0 49 0 259 0],[0.15 0.145 0.168 0 0.188 0 0.145 0],[8.873 7.29 9.622 0 6.118 0 2.997 0],[80 111 279 0 27 0 96 0],2
5,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[200 89 228 0 43 0 180 0],[0.13 0.124 0.124 0 0.209 0 0.112 0],[7.875 6.688 7.526 0 6.833 0 2.742 0],[51 156 309 0 16 0 61 0],2
