[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
4,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[228 104 304 0 57 0 198 0],[0.219 0.128 0.153 0 0.134 0 0.145 0],[11.545 6.683 8.714 0 4.833 0 2.665 0],[19 309 93 0 21 0 108 0],1
4,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[199 121 250 0 41 0 179 0],[0.187 0.135 0.175 0 0.133 0 0.148 0],[10.238 6.972 9.831 0 4.72 0 3.323 0],[20 337 142 0 16 0 121 0],1
4,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[208 124 229 0 42 0 160 0],[0.184 0.122 0.185 0 0.123 0 0.172 0],[10.12 6.457 10.232 0 4.577 0 2.828 0],[27 285 114 0 17 0 90 0],1
4,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[265 122 251 0 49 0 119 0],[0.205 0.107 0.162 0 0.128 0 0.158 0],[10.619 6.004 8.936 0 4.834 0 2.507 0],[20 314 132 0 24 0 49 0],1
5,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[184 88 222 0 38 109 291 23],[0.167 0.085 0.138 0 0.116 0.144 0.123 0.071],[8.958 5.195 7.919 0 4.691 5.93 2.821 3.429],[41 129 47 0 45 11 87 3],1
5,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[281 118 181 0 49 201 291 0],[0.144 0.117 0.179 0 0.119 0.163 0.149 0],[8.193 6.084 9.993 0 4.599 6.272 3.027 0],[44 162 31 0 42 6 97 0],1
5,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[126 73 215 0 72 65 178 0],[0.104 0.086 0.156 0 0.124 0.111 0.147 0],[6.737 5.199 8.652 0 4.832 4.989 2.546 0],[35 173 36 0 32 2 110 0],1
5,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[154 121 60 0 11 0 163 0],[0.139 0.1 0.085 0 0.065 0 0.149 0],[8.239 5.534 5.881 0 3.53 0 2.809 0],[35 58 6 0 7 0 71 0],1
5,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[141 71 160 0 41 0 217 0],[0.134 0.117 0.139 0 0.144 0 0.133 0],[8.096 6.415 8.241 0 5.382 0 2.986 0],[25 298 33 0 39 0 142 0],1
5,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[241 108 160 0 32 0 175 0],[0.165 0.141 0.161 0 0.126 0 0.155 0],[9.323 7.172 9.334 0 4.889 0 3.157 0],[45 323 46 0 23 0 180 0],1
5,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[268 101 150 0 51 0 175 0],[0.162 0.106 0.173 0 0.145 0 0.147 0],[8.938 5.852 9.698 0 5.151 0 2.985 0],[29 247 42 0 9 0 188 0],1
5,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[276 105 192 0 55 0 182 0],[0.217 0.098 0.134 0 0.171 0 0.142 0],[11.214 5.644 7.943 0 5.331 0 2.736 0],[25 278 44 0 10 0 133 0],1
5,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[247 76 206 0 45 0 151 0],[0.247 0.111 0.148 0 0.151 0 0.149 0],[12.645 6.207 8.679 0 5.454 0 2.963 0],[18 324 47 0 11 0 133 0],1
5,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[193 144 306 0 108 0 248 0],[0.213 0.14 0.196 0 0.231 0 0.145 0],[11.552 7.075 10.438 0 6.916 0 2.936 0],[18 325 64 0 13 0 171 0],1
1,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[190 84 218 0 122 111 244 121],[0.17 0.145 0.159 0 0.173 0.142 0.145 0.55],[9.221 7.38 9.037 0 5.862 5.885 2.919 11.074],[141 90 141 0 63 42 115 5],2
1,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[182 76 252 0 67 203 172 0],[0.114 0.104 0.121 0 0.16 0.214 0.139 0],[7.026 6.018 7.194 0 5.574 7.749 2.37 0],[103 93 102 0 34 27 61 0],2
1,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[282 121 187 0 35 301 165 0],[0.192 0.14 0.159 0 0.152 0.317 0.159 0],[10.506 7.015 9.224 0 5.609 10.288 2.752 0],[130 100 191 0 80 21 96 0],2
1,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[335 65 214 0 56 401 133 0],[0.155 0.089 0.133 0 0.126 0.297 0.155 0],[8.636 5.343 7.795 0 4.793 9.463 2.402 0],[112 33 167 0 63 20 99 0],2
1,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[357 62 253 0 44 294 205 0],[0.154 0.114 0.131 0 0.106 0.335 0.151 0],[8.55 6.304 7.804 0 4.449 10.744 2.808 0],[134 14 148 0 94 9 122 0],2
1,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[230 29 228 0 71 0 220 0],[0.165 0.09 0.149 0 0.143 0 0.149 0],[9.481 5.639 8.777 0 5.119 0 3.426 0],[194 6 212 0 90 0 128 0],2
1,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[205 101 209 0 61 0 191 0],[0.123 0.167 0.144 0 0.165 0 0.143 0],[7.484 7.892 8.377 0 5.687 0 2.699 0],[175 8 201 0 83 0 82 0],2
1,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[253 37 262 0 69 0 125 0],[0.148 0.078 0.144 0 0.109 0 0.12 0],[8.538 5.09 8.381 0 4.439 0 2.565 0],[143 11 178 0 76 0 86 0],2
1,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[273 92 362 0 86 0 175 0],[0.212 0.142 0.154 0 0.122 0 0.17 0],[11.174 7.267 8.801 0 4.685 0 2.868 0],[178 26 257 0 73 0 54 0],2
1,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[306 114 222 0 37 0 219 0],[0.18 0.118 0.149 0 0.109 0 0.161 0],[9.606 6.337 8.575 0 4.603 0 3.161 0],[192 33 304 0 44 0 39 0],2
2,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[192 116 208 79 78 107 293 107],[0.17 0.143 0.165 0.169 0.174 0.157 0.138 0.759],[9.469 7.161 9.297 4.283 5.766 6.385 2.964 14.664],[91 159 90 2 123 24 129 2],2
2,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[152 58 308 0 60 0 255 0],[0.103 0.092 0.13 0 0.121 0 0.137 0],[6.635 5.562 7.605 0 4.688 0 2.584 0],[52 147 54 0 85 0 75 0],2
2,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[153 98 144 0 68 0 343 0],[0.165 0.12 0.129 0 0.146 0 0.121 0],[9.371 6.399 7.821 0 5.22 0 2.949 0],[86 206 64 0 108 0 96 0],2
2,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[253 152 244 0 78 0 217 0],[0.152 0.136 0.199 0 0.146 0 0.137 0],[8.615 6.842 10.6 0 5.267 0 3.008 0],[96 204 70 0 95 0 76 0],2
2,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[304 105 163 0 49 0 136 0],[0.15 0.113 0.127 0 0.121 0 0.122 0],[8.452 6.085 7.73 0 4.787 0 2.586 0],[90 129 74 0 80 0 66 0],2
2,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[187 86 140 0 69 0 210 0],[0.179 0.157 0.152 0 0.144 0 0.172 0],[10.121 7.683 9.032 0 5.216 0 2.988 0],[91 246 84 0 123 0 77 0],2
2,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[203 100 174 0 65 0 145 0],[0.154 0.128 0.173 0 0.136 0 0.171 0],[8.801 6.652 9.629 0 4.975 0 2.713 0],[66 167 77 0 25 0 24 0],2
2,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[187 158 191 0 60 0 201 0],[0.109 0.112 0.134 0 0.128 0 0.148 0],[6.747 6.049 8.022 0 4.811 0 2.776 0],[68 173 146 0 73 0 21 0],2
2,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[160 97 200 0 62 0 116 0],[0.159 0.116 0.147 0 0.219 0 0.159 0],[9.237 6.348 8.65 0 6.646 0 2.836 0],[65 217 223 0 42 0 38 0],2
